Area_Part,Date_Quarter,Price_Index,,,
"Calgary, Alberta",Q1 2017,100.9,,,Source: https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810027301
"Calgary, Alberta",Q1 2018,95.9,,,
"Calgary, Alberta",Q1 2019,86,,,
"Calgary, Alberta",Q1 2020,78,,,
"Calgary, Alberta",Q1 2021,78.7,,,
"Calgary, Alberta",Q1 2022,80.9,,,
"Calgary, Alberta",Q1 2023,84.2,,,
"Calgary, Alberta",Q2 2017,102.4,,,
"Calgary, Alberta",Q2 2018,92.3,,,
"Calgary, Alberta",Q2 2019,84.4,,,
"Calgary, Alberta",Q2 2020,78,,,
"Calgary, Alberta",Q2 2021,79.4,,,
"Calgary, Alberta",Q2 2022,81.9,,,
"Calgary, Alberta",Q2 2023,87.7,,,
"Calgary, Alberta",Q3 2017,99.5,,,
"Calgary, Alberta",Q3 2018,92.6,,,
"Calgary, Alberta",Q3 2019,82.9,,,
"Calgary, Alberta",Q3 2020,77.5,,,
"Calgary, Alberta",Q3 2021,80.5,,,
"Calgary, Alberta",Q3 2022,82.4,,,
"Calgary, Alberta",Q3 2023,93.1,,,
"Calgary, Alberta",Q4 2017,97.1,,,
"Calgary, Alberta",Q4 2018,89,,,
"Calgary, Alberta",Q4 2019,79.8,,,
"Calgary, Alberta",Q4 2020,78.6,,,
"Calgary, Alberta",Q4 2021,80.9,,,
"Calgary, Alberta",Q4 2022,82.8,,,
"Calgary, Alberta",Q4 2023,96.8,,,
"Edmonton, Alberta",Q1 2017,100.2,,,
"Edmonton, Alberta",Q1 2018,98.6,,,
"Edmonton, Alberta",Q1 2019,94.2,,,
"Edmonton, Alberta",Q1 2020,89.3,,,
"Edmonton, Alberta",Q1 2021,85.8,,,
"Edmonton, Alberta",Q1 2022,85.4,,,
"Edmonton, Alberta",Q1 2023,88.7,,,
"Edmonton, Alberta",Q2 2017,100.4,,,
"Edmonton, Alberta",Q2 2018,97.9,,,
"Edmonton, Alberta",Q2 2019,93.9,,,
"Edmonton, Alberta",Q2 2020,89.6,,,
"Edmonton, Alberta",Q2 2021,87.9,,,
"Edmonton, Alberta",Q2 2022,88.4,,,
"Edmonton, Alberta",Q2 2023,88.9,,,
"Edmonton, Alberta",Q3 2017,100.1,,,
"Edmonton, Alberta",Q3 2018,97.6,,,
"Edmonton, Alberta",Q3 2019,92.2,,,
"Edmonton, Alberta",Q3 2020,88.4,,,
"Edmonton, Alberta",Q3 2021,88.4,,,
"Edmonton, Alberta",Q3 2022,89.2,,,
"Edmonton, Alberta",Q3 2023,91,,,
"Edmonton, Alberta",Q4 2017,99.3,,,
"Edmonton, Alberta",Q4 2018,94.7,,,
"Edmonton, Alberta",Q4 2019,91.3,,,
"Edmonton, Alberta",Q4 2020,85.9,,,
"Edmonton, Alberta",Q4 2021,85.9,,,
"Edmonton, Alberta",Q4 2022,87.7,,,
"Edmonton, Alberta",Q4 2023,94.6,,,
"Halifax, Nova Scotia",Q1 2017,98.5,,,
"Halifax, Nova Scotia",Q1 2018,102,,,
"Halifax, Nova Scotia",Q1 2019,108.7,,,
"Halifax, Nova Scotia",Q1 2020,109.6,,,
"Halifax, Nova Scotia",Q1 2021,117.9,,,
"Halifax, Nova Scotia",Q1 2022,119.9,,,
